ID;English;Chinese Simplified;Chinese Traditional;Czech;Danish;German;Greek;Finnish;French;Indonesian;Italian;Japanese;Korean;Dutch;Norwegian;Polish;Portugese;Spanish;Swedish;Tagalog
1200004453;Torch;火把;火把;POCHODEŇ;FAKKEL;Fackel;ΠΥΡΣΟΣ;Soihtu;Torche;OBOR;Torcia;たいまつ;횃불;FAKKEL;FAKKEL;POCHODNIA;Tocha;ANTORCHA;FACKLA;SULO
1200004454;Torment;受苦;受苦;TRÝZEŇ;PINE;Qual;ΒΑΣΑΝΙΖΩ, ΒΑΣΑΝΙΣΜΟΣ;Piina;Tourmenter, tourment;SIKSA, MENYIKSA;Tormento;責め苦;;PIJNIGING;PINE;MĘCZARNIE;Tormento;TORMENTO;;PAHIRAP
1200004455;Torrent Valley;溪谷;溪谷;ŘÍČNÍ ÚDOLÍ;REGNFLODSDAL;Wildbachtal;ΚΟΙΛΑΔΑ ΧΕΙΜΑΡΡΟΥ;Purolaakso;Ouadi;WADI;Valle del torrente;奔流の谷;급류 골짜기;STROOMDAL;ELVEDAL;DOLINA POTOKU;Vale de torrente;VALLE TORRENCIAL;REGNFLODSDAL;AGUSANG LIBIS
1200004456;Torture Stake;苦刑柱;苦刑柱;MUČEDNICKÝ KŮL;MARTERPÆL;Marterpfahl;ΞΥΛΟ ΒΑΣΑΝΙΣΜΟΥ;Kidutuspaalu;Poteau de supplice;TIANG SIKSAAN;Palo di tortura;苦しみの杭;고통의 기둥;MARTELPAAL;TORTURPÆL;PAL MĘKI;Estaca de tortura;MADERO DE TORMENTO;TORTYRPÅLE;PAHIRAPANG TULOS
1200004457;Tou;陀乌;陀烏;TOU;TO’U;Tou;;Tou;Toou;TOU;Tou;トウ;도우;TOÜ;TO’U;TOU;;TOU;TOU;TOU
1200004458;Tow;麻屑，麻线;麻屑，麻線;KOUDEL;BLÅR;Werg;ΣΤΟΥΠΙ;Rohdin;Étoupe;TALI PENGERET;Stoppa;粗麻，麻くず;삼실;VLASAFVAL;STRY;PAKUŁY;Estopa;ESTOPA;BLÅNOR;MAIIKLING HIBLA
1200004459;Tower;塔楼;塔樓;VĚŽ;TÅRN;Turm;ΠΥΡΓΟΣ;Torni;Tour;MENARA;Torre;塔;망대, 탑;TOREN;TÅRN;WIEŻA;Torre;TORRE;TORN;TORE
1200004460;Tower of Babel;巴别塔;巴别塔;BABYLÓNSKÁ VĚŽ;BABELSTÅRNET;Turm von Babel;ΠΥΡΓΟΣ ΤΗΣ ΒΑΒΕΛ;;Tour de Babel;MENARA BABEL;Torre di Babele;バベルの塔;바벨탑;TOREN VAN BABEL;;WIEŻA BABEL;Torre de Babel;TORRE DE BABEL;BABELS TORN;TORE NG BABEL
1200004461;Town;镇;鎮;;STAD;;ΚΩΜΟΠΟΛΗ;;Cité;;;町;성읍;;;OSADA;;PUEBLO;;BAYAN
1200004462;Trachonitis;特拉可尼;特拉可尼;TRACHONITIS;TRAKONITIS;Trachonitis;ΤΡΑΧΩΝΙΤΙΔΑ;Trakonitis;Trachonitide;TRAKHONITIS;Traconitide;テラコニテ;드라고닛;TRACHONITIS;TRAKONITIS;TRACHON;Traconítis;TRACONÍTIDE;TRAKONITIS;TRACONITE
1200004463;Tradition;传统;傳統;TRADICE;OVERLEVERING;Überlieferung;ΠΑΡΑΔΟΣΗ;Perinne;Tradition;AJARAN TURUN-TEMURUN;Tradizione;伝承，伝統;전통;OVERLEVERING;TRADISJON;TRADYCJA;Tradição;TRADICIÓN;TRADITION;TRADISYON
1200004464;Traitor;叛徒;叛徒;ZRÁDCE;FORRÆDER;Verräter;ΠΡΟΔΟΤΗΣ;Petturi;Traître;PENGKHIANAT;Traditore;反逆者;배반자;VERRADER;FORRÆDER;ZDRAJCA;Traidor;TRAIDOR;FÖRRÄDARE;TRAIDOR
1200004465;Trance;出神状态;出神狀態;VYTRŽENÍ;TRANCE;Trance;ΕΚΣΤΑΣΗ;Hurmostila;Extase;TRANS;Estasi;こうこつとした状態;무아지경;TRANCE;TRANSE;UNIESIENIE;Transe;ARROBAMIENTO;TRANCE;KAWALAN NG DIWA
1200004466;Transfiguration;改变形貌;改變形貌;PROMĚNĚNÍ;FORVANDLINGEN;Umgestaltung;ΜΕΤΑΜΟΡΦΩΣΗ;Muodonmuutos;Transfiguration;TRANSFIGURASI;Trasfigurazione;変ぼう;변형;TRANSFIGURATIE;FORVANDLINGEN;PRZEMIENIENIE;Transfiguração;TRANSFIGURACIÓN;FÖRVANDLINGEN;PAGBABAGONG-ANYO
1200004467;Transgression;犯法;犯法;PŘESTUPEK;OVERTRÆDELSE;Übertretung;ΠΑΡΑΒΑΣΗ;Rikkomus;Transgression;;Trasgressione;違犯;범법, 범과;OVERTREDING;OVERTREDELSE;WYSTĘPEK;Transgressão;TRANSGRESIÓN;ÖVERTRÄDELSE;PAGSALANSANG
1200004468;Translator;;;PŘEKLADATEL;;;ΜΕΤΑΦΡΑΣΤΗΣ;;Traducteur;;Traduzione;翻訳者;통역자;;;;Tradutor;TRADUCTOR;;TAGAPAGSALIN
1200004469;Transportation;运输;運輸;DOPRAVA;TRANSPORT;Beförderungsmittel;ΣΥΓΚΟΙΝΩΝΙΑ;Kuljetus;Transport;TRANSPORTASI;Trasporto, Mezzi di;運ぶ，輸送;운송 수단;VERVOER;TRANSPORT;TRANSPORT;Transporte;TRANSPORTE;TRANSPORT;TRANSPORTASYON
1200004470;Trap;圈套;圈套;PAST;FÆLDE;Falle, Fallstrick;ΠΑΓΙΔΑ;Pyydys;Piège;PERANGKAP;Trappola;仕掛け，わな;덫;VAL, VALSTRIK;FELLE;PUŁAPKA;Armadilha;TRAMPA;FÄLLA;BITAG
1200004471;Treasury;宝库;寶庫;POKLADNICE;SKATKAMMER;Schatzkammer;ΘΗΣΑΥΡΟΦΥΛΑΚΙΟ;Aarteisto;Trésor;PERBENDAHARAAN;Tesoro;宝物庫;보고(寶庫);SCHATKAMER;SKATTKAMMER;SKARBIEC;Tesouraria;TESORO;SKATTKAMMARE;INGATANG-YAMAN
1200004472;Trees;树木;樹木;STROMY;TRÆER;Bäume;ΔΕΝΤΡΟ;Puut;Arbres;POHON;Alberi;木;나무;BOMEN;TRÆR;DRZEWA;Árvores;ÁRBOL;TRÄD;PUNUNGKAHOY
1200004473;Trespass;过犯;過犯;PŘEČIN;;Verfehlung;ΠΑΡΑΠΤΩΜΑ;Hairahdus;;PELANGGARAN;Fallo;罪過;범죄;;;WYKROCZENIE;Falha;OFENSA;MISSGÄRNING;
1200004474;Trial;审讯;審訊;;;;ΔΙΚΗ;;;PENGADILAN, SIDANG;Processo;裁判;;VERHOOR;;ROZPRAWA;Julgamento(s);JUICIO;RÄTTEGÅNG;PAGLILITIS
1200004475;Tribe;部族;部族;KMEN;STAMME;Stamm;ΦΥΛΗ;Heimo;Tribu;SUKU;Tribù;部族;지파;STAM;STAMME;PLEMIĘ;Tribo;TRIBU;STAM;TRIBO
1200004476;Tribulation;患难;患難;SOUŽENÍ;TRÆNGSEL;Drangsal;ΘΛΙΨΗ;Ahdistus;Tribulation;SENGSARA, KESENGSARAAN;Tribolazione;患難;환난;VERDRUKKING;TRENGSEL;UCISK, UDRĘKA;Tribulação;TRIBULACIÓN;VEDERMÖDA;KAPIGHATIAN
1200004477;Tribunal;裁判所;裁判所;SOUDNÍ DVŮR;;;;;;;Tribunale;審判の場;;INSTANTIE;;TRYBUNAŁ;Tribunal;TRIBUNAL;;TRIBUNAL
1200004478;Tribute;进贡;進貢;TRIBUT;TRIBUT;Tribut;ΦΟΡΟΣ ΥΠΟΤΕΛΕΙΑΣ;Pakkovero;Tribut;UPETI;Tributo;貢ぎ物;조공;SCHATTING;TRIBUTT;DANINA;Tributo;TRIBUTO;TRIBUT;TRIBUTO
1200004479;Triumphal Procession;凯旋队伍的游行;凱旋隊伍的遊行;TRIUMFÁLNÍ PRŮVOD;TRIUMFTOG;Triumphzug;ΘΡΙΑΜΒΕΥΤΙΚΗ ΠΟΜΠΗ;Voittokulkue;Cortège triomphal;PAWAI KEMENANGAN;Processione trionfale;凱旋行列;개선 행렬;TRIOMFTOCHT;TRIUMFTOG, PROSESJON;POCHÓD TRYUMFALNY;Procissão (cortejo) triunfal;PROCESIÓN TRIUNFAL;TRIUMFTÅG;PRUSISYON NG TAGUMPAY
1200004480;Troas;特洛阿斯;特洛阿斯;TROAS;TROAS;Troas;ΤΡΩΑΣ;Troas;Troas;TROAS;Troas;トロアス;트로아스;TROAS;TROAS;TROADA;Trôade;TROAS;TROAS;TROAS
1200004481;Trophimus;特罗非摩;特羅非摩;TROFIMOS;TROFIMUS;Trophimus;ΤΡΟΦΙΜΟΣ;Trofimos;Trophime;TROFIMUS;Trofimo;トロフィモ;드로비모;TROFIMUS;TROFIMUS;TROFIM;Trófimo;TRÓFIMO;TROFIMOS;TROFIMO
1200004482;Trumpet;号筒;號筒;TRUBKA;TROMPET;Trompete;ΣΑΛΠΙΓΓΑ;Trumpetti;Trompette;TEROMPET;Tromba;ラッパ;나팔;TROMPET;TROMPET;TRĄBA;Trombeta;TROMPETA;TRUMPET;TRUMPETA
1200004483;Truth;真理;真理;PRAVDA;SANDHED;Wahrheit;ΑΛΗΘΕΙΑ;Totuus;Vérité;BENAR, KEBENARAN;Verità;真理，真実;진리, 진실, 참;WAARHEID;SANNHET;PRAWDA;Verdade;VERDAD;SANNING;KATOTOHANAN
1200004484;Tryphaena;杜菲拿;杜菲拿;TRYFENA;TRYFÆNA;Tryphäna;ΤΡΥΦΑΙΝΑ;Tryfaina;Tryphène;TRIFENA;Trifena;トリファナ;드루배나;TRYFENA;TRYFENA;TRYFENA;Trifena;TRIFENA;TRYFENA;TRIFENA
1200004485;Tryphosa;杜富莎;杜富莎;TRYFOSA;TRYFOSA;Tryphosa;ΤΡΥΦΩΣΑ;Tryfosa;Tryphose;TRIFOSA;Trifosa;トリフォサ;드루보사;TRYFOSA;TRYFOSA;TRYFOZA;Trifosa;TRIFOSA;TRYFOSA;TRIFOSA
1200004486;Tsadheh;察德;察德;CADHÉ;TSADHĒ;Zade;ΤΣΑΔΑΙ;Tsade;Tsadhé;TSADE;Tsadheh;ツァーデー;차데;TSADHĒ;TSADHE;CADE;Tsadê;TSADHÉH;TSADHĒ;TSADE
1200004487;Tsohar;窗口（方舟的）;窗口（方舟的）;COHAR;TSOHAR;Zóhar;ΤΣΟΧΑΡ;Tsohar;Tsohar, I;TSOHAR;Tsohar;ツォハル，I;초하르;TSOHAR;TSOHAR;COHAR;Tsoar;TSÓHAR;TSOHAR;TSOHAR
1200004488;Tubal;杜巴;杜巴;TUBAL;TUBAL;Tubal;ΘΟΥΒΑΛ;Tubal;Toubal;TUBAL;Tubal;トバル;두발;TUBAL;TUBAL;TUBAL;Tubal;TUBAL;TUBAL;TUBAL
1200004489;Tubal-cain;杜巴该隐;杜巴該隱;TUBAL-KAJIN;TUBAL-KAJIN;Tubal-Kain;ΘΟΥΒΑΛ‐ΚΑΪΝ;Tubal-Kain;Toubal-Caïn;TUBAL-KAIN;Tubal-Cain;トバル･カイン;두발-카인;TUBAL-KAÏN;TUBAL-KAIN;TUBAL-KAIN;Tubalcaim;TUBAL-CAÍN;TUBAL-KAIN;TUBAL-CAIN
1200004490;Turban;包头巾;包頭巾;TURBAN;TURBAN;Turban;ΤΟΥΡΜΠΑΝΙ;Turbaani;Turban;SERBAN;Turbante;ターバン;터번;TULBAND;TURBAN;ZAWÓJ;Turbante;TURBANTE;TURBAN;TURBANTE
1200004491;Turning Around;;;;;Umkehr;;;Retourner (Se);BALIK, BERBALIK;;身を転じる;돌이킴;OMKEREN, ZICH;;;Dar meia-volta;VOLVERSE;;PANUNUMBALIK
1200004492;Turquoise;绿松石;綠松石;TYRKYS;TURKIS;Türkis;ΚΑΛΛΑΪΤΗΣ;Turkoosi;Turquoise;TURKUOIS;Turchese;トルコ玉（トルコ石）;터키석;TURKOOIS;TURKIS;TURKUS;Turquesa;TURQUESA;TURKOS;TURKESA
1200004493;Turtledove;斑鸠;斑鳩;HRDLIČKA;TURTELDUE;Turteltaube;ΤΡΥΓΟΝΙ;Turturikyyhky;Tourterelle;TEKUKUR;Tortora;やまばと;산비둘기;TORTELDUIF;TURTELDUE;TURKAWKA;Rola;TÓRTOLA;TURTURDUVA;BATU-BATO
1200004494;Tutor;监护老师;監護老師;VYCHOVATEL;OPDRAGER;Erzieher;ΠΑΙΔΑΓΩΓΟΣ;Kasvattaja;Précepteur;PEMBIMBING;Tutore;養育係;가정교사;LEERMEESTER;OPPDRAGER;WYCHOWAWCA;Tutor;TUTOR;UPPFOSTRARE;TAGAPAGTURO
1200004495;Twelve, The;十二使徒;十二使徒;DVANÁCT;TOLV, DE;Zwölf, Die;ΔΩΔΕΚΑ, ΟΙ;;Douze (Les);DUA BELAS MURID;Dodici, I;十二人;열두 제자;TWAALF, DE;TOLV, DE;DWUNASTU;Doze, Os;DOCE, LOS;TOLV, DE;LABINDALAWA, ANG
1200004496;Tychicus;推基古;推基古;TYCHIKOS;TYKIKUS;Tychikus;ΤΥΧΙΚΟΣ;Tykikos;Tychique;TIKHIKUS;Tichico;テキコ;두기고;TYCHIKUS;TYKIKUS;TYCHIK;Tíquico;TÍQUICO;TYKIKOS;TIQUICO
1200004497;Tyrannus;推拉诺;推拉諾;TYRANNOS;TYRANNUS;Tyrannus;ΤΥΡΑΝΝΟΣ;Tyrannos;Tyrannus;TIRANUS;Tiranno;ツラノ;두란노;TYRANNUS;TYRANNUS;TYRANNUS;Tirano;TIRANO;TYRANNOS;TIRANO
1200004498;Tyre;泰尔;泰爾;TYROS;TYRUS;Tyrus;ΤΥΡΟΣ;Tyros;Tyr;TIRUS;Tiro;ティルス;티레;TYRUS;TYRUS;TYR;Tiro;TIRO;TYROS;TIRO
1200004499;Tyrian;泰尔人;泰爾人;TYŘAN;TYRIER;Tyrier;ΤΥΡΙΟΙ;Tyroslainen;Tyrien;;Tiri;ティルス人;티레 사람;TYRIËR;TYRIER;TYRYJCZYK;Tírio;TIRIO;TYRIER;TAGA-TIRO
1200004500;Ucal;乌卡;烏卡;UKAL;UKAL;Uchal;ΟΥΚΑΛ;Ukal;Oukal;UKAL;Ucal;ウカル;우갈;UCHAL;UKAL;UCHAL;Ucal;UCAL;UKAL;UCAL
1200004501;Uel;乌益;烏益;UEL;UEL;Uel;ΟΥΗΛ;Uel;Ouël;UEL;Uel;ウエル;우엘;UËL;U’EL;UEL;Uel;UEL;UEL;UEL
1200004502;Ulai;乌莱;烏萊;ULAI;ULAJ;Ulai;ΟΥΛΑΪ;Ulai;Oulaï;ULAI;Ulai;ウライ;울래;ULAI;ULAI;ULAJ;Ulai;ULAI;ULAJ;ULAI
1200004503;Ulam;乌兰;烏蘭;ULAM;ULAM;Ulam;ΟΥΛΑΜ;Ulam;Oulam;ULAM;Ulam;ウラム;울람;ULAM;ULAM;ULAM;Ulão;ULAM;ULAM;ULAM
1200004504;Ulcer;皮肉溃烂;皮肉潰爛;VŘED;SÅR;Geschwür;ΕΛΚΟΣ;Märkähaava;Ulcère;BOROK;Ulcera;かいよう;궤양;ZWEER;ÅPENT SÅR;;Úlcera;ÚLCERA;SÅR;SUGAT
1200004505;Ulla;乌拉;烏拉;ULLA;ULLA;Ulla;ΟΥΛΛΑ;Ulla;Oulla;ULA;Ulla;ウラ;울라;ULLA;ULLA;ULLA;Ula;ULÁ;ULLA;ULA
1200004506;Ummah;乌玛;烏瑪;UMMA;UMMA;Umma;ΟΥΜΜΑ;Umma;Oumma;UMA;Umma;ウマ;움마;UMMA;UMMA;UMMA;Umá;UMÁ;UMMA;UMA
1200004507;Uncle;叔伯;叔伯;STRÝC;FARBRODER;Onkel;ΘΕΙΟΣ;Setä, eno;Oncle;PAMAN;Zio, Zia;おじ;삼촌;OOM;ONKEL;WUJ;Tio;TÍO;FARBROR, MORBROR;TIYO
1200004508;Unclean Animals;不洁的动物;不潔的動物;NEČISTÁ ZVÍŘATA;URENE DYR;Unreine Tiere;ΑΚΑΘΑΡΤΑ ΖΩΑ;Epäpuhtaat eläimet;;HARAM, BINATANG;;汚れた動物;부정한 동물;ONREINE DIEREN;URENE DYR;NIECZYSTE, ZWIERZĘTA;Impuros, Animais;;ORENA DJUR;MARUMING HAYOP
1200004509;Uncleanness;不洁;不潔;NEČISTOTA;URENHED;Unreinheit;ΑΚΑΘΑΡΣΙΑ;Epäpuhtaus;Impureté;NAJIS, KENAJISAN;Impurità;汚れ;부정함;ONREINHEID;URENHET;NIECZYSTOŚĆ;Impureza;INMUNDICIA;ORENHET;KARUMIHAN
1200004510;Understanding;悟性，领悟;悟性，領悟;POROZUMĚNÍ;FORSTAND, FORSTÅELSE;Verstand, Verständnis;ΚΑΤΑΝΟΗΣΗ;Ymmärrys;Intelligence;PENGERTIAN;Intendimento;理解，理解力，悟り;이해;VERSTAND, BEGRIP;FORSTAND, FORSTÅELSE;ZROZUMIENIE;Entendimento;ENTENDIMIENTO;FÖRSTÅND;UNAWA
1200004511;Undeserved Kindness;分外恩典;分外恩典;NEZASLOUŽENÁ LASKAVOST;UFORTJENT GODHED;Unverdiente Güte;ΠΑΡ’ ΑΞΙΑ ΚΑΛΟΣΥΝΗ;Ansaitsematon hyvyys;Faveur imméritée;KEBAIKAN HATI YANG TIDAK SELAYAKNYA DIPEROLEH;Immeritata benignità;過分の（ご）親切;과분한 친절;ONVERDIENDE GOEDHEID;;NIEZASŁUŻONA ŻYCZLIWOŚĆ;;;;DI-SANA-NARARAPAT NA KABAITAN
1200004512;Unfermented Cakes, Festival of;;;;;Ungesäuerte Brote;;;Gâteaux sans levain (Fête des);ROTI TIDAK BERAGI, HARI RAYA;;;;ONGEZUURDE BRODEN, FEEST DER;;PRZAŚNIKÓW, ŚWIĘTO;Pães não fermentados, Festividade dos;;;TINAPAY NA WALANG PAMPAALSA, KAPISTAHAN NG MGA
1200004513;Unknown God;未知的神;未知的神;NEZNÁMÝ BŮH;UKENDT GUD;Unbekannter Gott;ΑΓΝΩΣΤΟΣ ΘΕΟΣ;Tuntematon Jumala;Dieu inconnu;ALLAH YANG TIDAK DIKENAL;Dio sconosciuto;知られていない神;알려지지 않은 신;ONBEKENDE GOD;UKJENT GUD;NIEZNANY BÓG;Deus desconhecido;DIOS DESCONOCIDO;OKÄND GUD;DI-KILALANG DIYOS
1200004514;Unni;乌尼;烏尼;UNNI;UNNI;Unni;ΟΥΝΝΙ;Unni;Ounni;UNI;Unni;ウニ;운니;UNNI;UNNI;UNNI;Uni;UNÍ;UNNI;UNI
1200004515;Unrighteous Riches;不义的钱财;不義的錢財;NESPRAVEDLIVÉ BOHATSTVÍ;URETFÆRDIG RIGDOM;Ungerechter Reichtum;ΑΔΙΚΟΣ ΠΛΟΥΤΟΣ;Epävanhurskas rikkaus;;KEKAYAAN YANG TIDAK ADIL-BENAR;;不義の富;불의한 재물;ONRECHTVAARDIGE RIJKDOM;URETTFERDIGE RIKDOM, DEN;NIEPRAWE BOGACTWO;Riquezas injustas;;ORÄTTFÄRDIG RIKEDOM;DI-MATUWID NA KAYAMANAN
1200004516;Uphaz;乌法;烏法;UFAZ;UFAZ;Uphas;ΟΥΦΑΖ;Ufas;Ouphaz;UFAZ;Ufaz;ウファズ;우바스;UFAZ;UFAS;UFAZ;Ufaz;UFAZ;UFAS;UPAZ
1200004517;Upper Room;楼上的房间;樓上的房間;HORNÍ MÍSTNOST;RUM OVENPÅ;Obergemach;;Ylähuone;;KAMAR ATAS;Stanza superiore;階上の部屋;위층 방;BOVENKAMER;ROM OVENPÅ;GÓRNY POKÓJ;Sala de sobrado;APOSENTO;;SILID SA ITAAS
1200004518;Ur;吾珥;吾珥;UR;UR;Ur;ΟΥΡ;Ur;Our;UR;Ur;ウル;우르;UR;UR;UR;Ur;UR;UR;UR
1200004519;Urbanus;耳巴奴;耳巴奴;URBANUS;URBANUS;Urbanus;ΟΥΡΒΑΝΟΣ;Urbanus;Urbain;URBANUS;Urbano;ウルバノ;우르바노;URBANUS;URBANUS;URBAN;Urbano;URBANO;URBANUS;URBANO
1200004520;Uri;乌利;烏利;URI;URI;Uri;ΟΥΡΙ;Uri;Ouri;URI;Uri;ウリ;우리;URI;URI;URI;Uri;URÍ;URI;URI, II
1200004521;Uriah;乌利亚;烏利亞;URIJÁŠ;URIAS;Uria;ΟΥΡΙΑΣ;Uuria;Ouriya;URIA;Uria;ウリヤ，I;우리아;URIA;URIA;URIASZ;Urias;URÍAS;URIA;URIA
1200004522;Uriel;乌列;烏列;URIEL;URIEL;Uriel;ΟΥΡΙΗΛ;Uriel;Ouriël;URIEL;Uriel;ウリエル;우리엘;URIËL;URIEL;URIEL;Uriel;URIEL;URIEL;URIEL
1200004523;Urijah;乌利雅;烏利雅;;URIJA;Urija;ΟΥΡΙΓΙΑΣ;Uria;;URIYA;Urija;ウリヤ，II;우리야;;URIJA;URIJASZ;Urija, Urijá;URIYA;URIJA;URIAS
1200004524;Urim and Thummim;“乌陵”“土明”圣签;“烏陵”“土明”聖籤;URIM A;URIM OG TUMMIM;Urim und Tummim;ΟΥΡΙΜ ΚΑΙ ΘΟΥΜΜΙΜ;Urim ja tummim;Ourim et Thoummim;URIM DAN TUMIM;Urim e Tummim;ウリムとトンミム;우림과 둠밈;URIM EN TUMMIM;URIM OG TUMMIM;URIM I;Urim e Tumim;URIM Y TUMIM;URIM OCH TUMMIM;URIM AT TUMIM
1200004525;Utensils;;;NÁČINÍ;REDSKABER;Geräte;;Välineet;Ustensiles;PERKAKAS;Utensili;器具，器物;기구;GEREI;REDSKAPER;PRZYBORY;Utensílios;UTENSILIOS;REDSKAP;KAGAMITAN
1200004526;Uthai;乌泰;烏泰;UTAI;UTAJ;Uthai;ΟΥΘΑΪ;Utai;Outhaï;UTAI;Utai;ウタイ;우대;UTHAI;UTAI;UTAJ;Utai;UTAI;UTAJ;UTAI
1200004527;Uz;乌斯;烏斯;UC;UZ;Uz;ΟΥΖ;Us;Outs;UZ;Uz;ウツ;우스;UZ;US;UC;Uz;UZ;US;UZ
1200004528;Uzai;乌赛;烏賽;UZAI;UZAJ;Usai;ΟΥΖΑΪ;Usai;Ouzaï;UZAI;Uzai;ウザイ;우새;UZAI;USAI;UZAJ;Uzai;UZAI;USAJ;UZAI
1200004529;Uzal;乌萨珥;烏薩珥;UZAL;UZAL;Usal;ΟΥΖΑΛ;Usal;Ouzal;UZAL;Uzal;ウザル;우살;UZAL;USAL;UZAL;Uzal;UZAL;USAL;UZAL
1200004530;Uzza;乌萨;烏薩;;;Usa;ΟΖΑ;Ussa;;UZA;;ウザ，I;웃사, I;;USSA;UZZA;Uza;UZÁ;;UZA
1200004531;Uzzah;乌撒;烏撒;UZZA;UZZA;;ΟΥΖΑ;;Ouzza;UZZA;Uzza;ウザ，II;웃사, II;UZZA;USSAH;;Uzá;UZAH;USSA;UZAH
1200004532;Uzzen-sheerah;乌申舍伊拉;烏申舍伊拉;UZEN-ŠEERA;UZZEN-SJE’ERA;Usen-Scheera;ΟΥΖΕΝ‐ΣΕΕΡΑ;Ussen-Seera;Ouzzèn-Shééra;UZEN-SYEERA;Uzzen-Seera;ウゼン･シェエラ;우센-세에라;UZZEN-SEËRA;USSEN-SJE’ERA;UZZEN-SZEERA;Uzém-Seerá;UZÉN-SEERÁ;USSEN-SEERA;UZEN-SEERA
1200004533;Uzzi;乌西;烏西;UZZI;UZZI;Usi;ΟΖΙ;Ussi;Ouzzi;UZI;Uzzi;ウジ;웃시;UZZI;USSI;UZZI;Uzi;UZÍ;USSI;UZI
1200004534;Uzzia;乌西亚;烏西亞;UZZIJA;;;ΟΖΙΑ;Ussija;Ouzzia;UZIA;;ウジヤ，I;웃시아;;USSIJA;UZZIJA;Uzia;UZÍA;USSIJA;UZIA
1200004535;Uzziah;乌西雅;烏西雅;UZZIJÁŠ;UZZIJA;Usija;ΟΖΙΑΣ;Ussia;Ouzziya;UZZIA;Uzzia;ウジヤ，II;웃시야;UZZIA;USSIA;UZZJASZ;Uzias;UZÍAS;USSIA;UZIAS
1200004536;Uzziel;乌薛;烏薛;UZZIEL;UZZIEL;Usiel;ΟΖΙΗΛ;Ussiel;Ouzziël;UZIEL;Uzziel;ウジエル;웃시엘;UZZIËL;USSIEL;UZZIEL;Uziel;UZIEL;USSIEL;UZIEL
1200004537;Uzzielites;乌薛人;烏薛人;UZZIELOVCI;UZZIELITTER;Usieliter;ΟΖΙΗΛΙΤΕΣ;Ussielilaiset;Ouzziélites;UZIEL, KETURUNAN;Uzzieliti;ウジエル人;웃시엘 사람들;UZZIËLIETEN;USSIELITTER;UZZIELICI;Uzielitas;UZIELITAS;USSIELITER;UZIELITA, MGA
1200004538;Vaheb;瓦希伯;瓦希伯;VAHEB;VAHEB;Waheb;ΒΑΕΒ;Vaheb;Vaheb;WAHEB;Vaheb;ワヘブ;와헙;WAHEB;VAHEB;WAHEB;Vaebe;VAHEB;VAHEB;VAHEB
1200004539;Vaizatha;瓦耶撒他;瓦耶撒他;VAIZATA;VAJZATA;Waisatha;ΒΑΪΕΖΕΘΑ;Vaisata;Vaïzatha;WAIZATA;Vaizata;ワエザタ;왜사다;WAIZATHA;VAISATA;WAJZATA;Vaizata;VAIZATA;VAJSATA;VAIZATA
1200004540;Valley;谷;谷;ÚDOLÍ;DAL;Tal;ΚΟΙΛΑΔΑ;Laakso;Vallée;LEMBAH;;谷;골짜기;DAL;DAL;DOLINA;Vale;VALLE;DAL;LIBIS
1200004541;Valley Gate;谷门;谷門;ÚDOLNÍ BRÁNA;DALPORTEN;Taltor;;Laaksoportti;;;;谷の門;골짜기 문;DALPOORT;DALPORTEN;;Vale, Portão do;;DALPORTEN;LIBIS, PINTUANG-DAAN NG
1200004542;Valley of Hinnom;矶汉拿;磯漢拿;ÚDOLÍ HINNOM;;Tal Hinnom;ΚΟΙΛΑΔΑ ΤΟΥ ΕΝΝΟΜ;;Vallée de Hinnom;LEMBAH HINOM;Innom, Valle di;;;DAL VAN HINNOM;;DOLINA HINNOMA;Vale de Hinom;;;LIBIS NG HINOM
1200004543;Valley Plain;;;ÚDOLNÍ PLÁŇ;;Talebene;ΛΕΚΑΝΟΠΕΔΙΟ;Laaksotasanko;Vallée-plaine;DATARAN LEMBAH;;谷あい（の）平原;골짜기 평야;VALLEIVLAKTE;DALSLETTE;DOLINNA RÓWNINA;Vale plano;;DALSLÄTT;LIBIS, KAPATAGANG
1200004544;Vaniah;瓦尼雅;瓦尼雅;VANJÁŠ;VANJA;Wanja;ΒΑΝΙΑΣ;Vanja;Vania;WANIA;Vania;ワヌヤ;와냐;VANJA;VANJA;WANIASZ;Vanias;VANÍAS;VANJA;VANIAS
1200004545;Vapor;蒸气;蒸氣;PÁRA;DAMP;;ΥΔΡΑΤΜΟΣ;Vesihöyry;Vapeur;UAP;;蒸気;수증기;DAMP;DAMP;PARA II;Vapor;VAPOR;DIS;MANIPIS NA ULAP
1200004546;Vashti;瓦实提;瓦實提;VAŠTI;VASJTI;Waschti;ΑΣΤΙΝ;Vasti;Vashti;WASTI;Vasti;ワシテ;와스디;VASTHI;VASJTI;WASZTI;Vasti;VASTI;VASTI;VASTI
1200004547;Vat;槽;槽;;;;;;Cuve;;Tino;おけ;통(桶);KUIP;VINKAR;KADŹ;Tanque;TINA;;TANGKE
1200004548;Vedan;威但;威但;VEDAN;VEDAN;Wedan;ΒΑΙΔΑΝ;Vedan;Vedân;WEDAN;Vedan;ベダン，II;워단;VEDAN;VEDAN;WEDAN;Vedã;VEDÁN;VEDAN;VEDAN
